RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
16350,13785,WEBSTER RD W,Local Access,2,276,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,276,0
16440,13762,LAUREL PL,Local Access,2,451,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,451,0
16460,12061,MCCALL BLVD W,Local Access,2,321,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,321,0
16000,12004,CHARLESTON BEACH RD W,Major Collector,2,2219,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2219,0
17250,10119,W L ST,Local Access,2,664,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,664,0
17619,8883,W ARSENAL WAY,Major Collector,2,727,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,727,0
16671,3791,W E ST,Local Access,2,655,Urban,655,15,West Hills STEM Academy,2,West Hills STEM Academy,51,NA,NA,2,2,5,NA,1,1,2,2,51,102
17001,9195,W F ST,Local Access,2,416,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,416,0
16870,7525,S MARION AVE,Local Access,2,118,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,118,0
16701,13766,W D ST,Local Access,2,555,Urban,555,15,West Hills STEM Academy,2,West Hills STEM Academy,168,NA,NA,2,2,5,NA,1,1,2,2,168,336
16330,13765,S NATIONAL AVE,Major Collector,2,122,Urban,122,15,West Hills STEM Academy,2,West Hills STEM Academy,37,NA,NA,5.666666666666667,8,6,NA,1,2,3,3,37,111
16380,13759,B ST,Local Access,2,132,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132,0
16530,13753,EVANS AVE W,Local Access,2,649,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,649,0
16380,13756,B ST,Local Access,2,133,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,133,0
16829,13790,BREMERTON BLVD W,Local Access,2,219,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,219,0
16330,13786,S NATIONAL AVE,Major Collector,2,270,Urban,270,15,West Hills STEM Academy,2,West Hills STEM Academy,55,NA,NA,3,NA,6,NA,1,0,1,1,55,55
16330,13786,S NATIONAL AVE,Major Collector,2,270,Urban,270,15,West Hills STEM Academy,2,West Hills STEM Academy,82,NA,NA,8,8,6,NA,2,2,4,4,82,328
16330,13786,S NATIONAL AVE,Major Collector,2,270,Urban,270,15,West Hills STEM Academy,2,West Hills STEM Academy,10,NA,NA,6,NA,6,NA,2,0,2,2,10,20
16580,13771,W MADRONA ST,Local Access,2,487,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,487,0
16330,13797,S NATIONAL AVE,Major Collector,2,228,Urban,228,15,West Hills STEM Academy,2,West Hills STEM Academy,69,NA,NA,8,8,6,NA,2,2,4,4,69,276
16829,13793,BREMERTON BLVD W,Local Access,2,241,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,241,0
17061,13997,W H ST,Local Access,2,508,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508,0
16829,13975,BREMERTON BLVD W,Local Access,2,236,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
16829,13980,BREMERTON BLVD W,Local Access,2,489,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,489,0
16829,13969,BREMERTON BLVD W,Local Access,2,232,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,232,0
17400,14000,W LOXIE EAGANS BLVD,Major Collector,2,552,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,552,0
16829,14011,BREMERTON BLVD W,Local Access,2,497,Urban,497,15,West Hills STEM Academy,2,West Hills STEM Academy,151,NA,NA,3,3,5,NA,1,1,2,2,151,302
17400,13965,W LOXIE EAGANS BLVD,Major Collector,2,924,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,924,0
16829,13986,BREMERTON BLVD W,Local Access,2,254,Urban,254,15,West Hills STEM Academy,2,West Hills STEM Academy,47,NA,NA,3,3,5,NA,1,1,2,2,47,94
16829,13990,BREMERTON BLVD W,Local Access,2,269,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0
17600,13992,W M ST,Local Access,2,684,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,684,0
16829,13973,BREMERTON BLVD W,Local Access,2,252,Urban,252,15,West Hills STEM Academy,2,West Hills STEM Academy,76,NA,NA,3,3,5,NA,1,1,2,2,76,152
16890,4812,MERRILL PL W,Local Access,2,663,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,663,0
16000,5308,CHARLESTON BEACH RD W,Local Access,2,329,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,329,0
16000,4784,CHARLESTON BEACH RD W,Major Collector,2,471,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,471,0
16870,3227,S MARION AVE,Local Access,2,253,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,253,0
