RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
72790,4476,HARRIS AVE NE,Local Access,1,513,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,513,0
72790,5381,HARRIS AVE NE,Local Access,1,365,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,365,0
73190,1593,SOUNDVIEW BLVD NE,Local Access,1,154,Rural,154,15,Suquamish Park & Ride,2,Suquamish Park & Ride,47,NA,NA,1,1,NA,3,1,1,2,2,47,94
72830,8985,ANGELINE AVE NE,Local Access,1,307,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,307,0
72450,12417,BROCKTON AVE NE,Local Access,1,213,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213,0
72740,11853,NE CENTER ST,Local Access,1,236,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
72325,13093,URBAN AVE NE,Local Access,1,221,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,221,0
72740,10462,NE CENTER ST,Local Access,1,241,Rural,241,15,Suquamish Park & Ride,2,Suquamish Park & Ride,49,NA,NA,NA,3,NA,3,0,5,5,5,49,245
72740,10462,NE CENTER ST,Local Access,1,241,Rural,241,15,Suquamish Park & Ride,2,Suquamish Park & Ride,51,NA,NA,3,NA,NA,3,5,0,5,5,51,255
72900,8649,NE CEDAR ST,Local Access,1,657,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,657,0
73240,8332,NE FERN ST,Local Access,1,659,Rural,659,15,Suquamish Park & Ride,2,Suquamish Park & Ride,200,NA,NA,2,2,NA,3,1,1,2,2,200,400
